cph,extra_column,easting,northing,holding_type,herd_size,whatever
68/575/1991,199.420463,786302,325758,GXFSR,2111,1093
51/469/9863,219.0379251,196439,224516,SCHZQ,2134,6602
32/532/8560,222.0186123,929087,258940,HEJDE,2140,1172
82/501/8178,105.4075525,341259,852472,IQALL,2141,5636
29/675/4499,237.1730024,937584,95297,YUFUC,2148,3091
59/516/9442,187.8664898,496345,996254,IATKP,2151,6530
72/782/8755,108.8874781,814099,362705,YCTYC,2181,671
86/580/7898,42.06036134,346019,362294,INBGW,2229,4947
20/857/9673,141.6636676,883718,98047,LEINK,2243,8045
76/796/8354,333.4053566,170153,832332,USOVY,2256,2894
41/201/4843,373.6091711,405687,795000,QVRLX,2303,3798
20/645/8856,344.6676245,90531,65916,ORUGE,2326,363
71/747/6459,24.40362956,794905,84440,BAQTV,2331,8180
96/896/8617,355.3681274,518546,503233,IYXQL,2357,6469
34/882/1536,488.9584745,68129,607667,HSJFX,2370,394
58/630/7109,295.1226252,619107,589339,ESHCX,2372,4755
18/689/7210,88.76906098,852252,11792,VZZMH,2379,9265
75/855/4236,147.2627761,451182,220656,WOXWH,2382,3849
63/664/9699,32.25527745,175400,441077,DSGPT,2387,6082
30/292/8549,297.5297176,776697,481174,TUCWG,2397,3998
43/816/2955,120.9876445,81092,620930,AEAYJ,2421,5638
79/642/5562,112.7921018,932397,273290,RFVUK,2444,5155
73/932/9136,128.6084963,849871,895918,CXISY,2462,9649
48/767/3208,201.744983,157632,785090,CQSPA,2593,5191
78/609/2545,486.9879911,115256,267136,HXSBA,2729,7509
76/503/6250,383.4816858,114543,638778,ENHCU,2755,4417
34/331/2418,100.0860309,193867,29522,TQCCP,2806,808
76/613/8076,127.9178817,619717,570882,GSOSL,2835,9599
89/807/6455,95.60939891,826999,501967,YQUGB,2857,1527
30/435/3761,92.55275886,166799,64641,SAENU,2867,1011
82/453/3870,430.9066854,4873,127774,FHHAS,2898,7320
67/985/6441,124.2239675,210219,676041,MYECE,2899,5174
25/873/2976,348.6351471,371204,361799,YCYYF,2900,5489
99/478/5120,1.987202288,211520,848819,HGGIW,2911,9376
32/659/7081,67.33431447,544449,844898,PMKDF,2937,9781
16/148/2296,420.4374743,836737,263164,KBDOK,2992,8915
51/176/5272,180.2764142,934031,899319,WOXQC,1063,2151
20/567/2533,44.80729723,63650,160546,JQSYZ,1111,4757
77/857/9849,2.765112636,816914,964210,ZIFWD,1146,8706
32/736/9359,440.159365,871292,145742,WLBKB,1149,5476
40/719/3881,142.5844937,502562,61515,YKADU,1180,606
76/443/2839,365.922024,428864,625691,SPKLI,1183,9374
95/376/3006,162.3210035,349255,249317,JFTCF,1187,5677
62/417/5196,451.6991472,512503,268119,LLEIG,1214,8540
73/588/4268,252.5864121,71287,330908,AMSWK,1246,3355
46/655/5777,445.4202536,86843,674180,CQUSB,1266,2223
36/467/5341,174.287409,815023,794389,ZXNWY,1276,1415
67/224/1544,300.8679163,288417,815600,WZGAE,1279,4066
21/854/2913,113.5538964,722223,705764,KUTJP,1282,5801
89/626/9022,180.7593202,604831,825486,WCSUZ,1332,7460
16/873/3120,377.1794799,360466,609983,LNOAU,1352,1829
61/424/2009,307.0478753,316526,453728,MTPOV,1360,1861
36/885/8878,342.5849241,378699,128482,NRFDD,1363,7139
65/570/5310,467.6820956,965737,668802,JYKAN,1365,1600
54/451/6391,144.7365438,33721,783484,BATFJ,1367,7905
84/129/2408,237.9946411,440605,644887,HYDVB,1378,3515
78/214/8249,15.72683385,531131,834632,NDTHL,1380,2880
36/659/7148,207.9257854,858348,743503,OBWSA,1383,9778
48/454/6523,354.2438404,714142,749051,ZVRZH,1390,588
24/159/6576,259.4371086,37760,10732,OIOXS,1400,3458
27/243/2267,309.3880371,915937,823040,SQETX,1414,4444
21/858/3667,39.88847625,10357,112157,TMSGP,1415,3216
31/436/9587,348.1339067,933389,777277,BQTUY,1458,3046
84/672/8164,352.100588,238746,513097,CGHYV,1503,6896
43/356/2293,404.1514238,633949,9334,OHPQP,1512,4290
49/162/7896,93.28329966,126221,95989,MZZGC,1527,5737
77/713/5478,332.3563958,792978,414686,QNKLM,1536,5776
47/307/1762,272.4623784,868954,11405,WDFJS,1588,7425
17/138/4106,174.2192913,697401,968807,WQOPH,1606,3414
92/738/5677,353.1245764,751703,903091,RCUUP,1616,6462
26/285/2481,127.7672353,290969,612990,ZDMFX,1644,701
75/345/2020,275.3774624,385023,633649,GCUHF,1676,938
25/737/8632,25.79922599,62280,467396,YDYFP,1722,838
39/947/2201,460.5479193,346703,291921,TBGBH,1729,3538
65/240/3174,343.7311851,564510,885712,JINRK,1746,2497
54/868/1322,299.8441312,604006,696698,KYVMU,1768,1882
84/458/5686,65.81880896,948113,541019,XXQHG,1794,864
99/409/1343,134.8415445,281443,946149,FKYPE,1812,9373
81/741/8323,174.012938,216124,585366,FOCDO,1814,5731
94/894/9933,296.6702624,685160,503399,UUHOD,1829,2732
70/245/9568,248.8449604,808262,463524,GMRDT,1887,8441
45/539/1667,269.4820728,148291,742448,EDQPA,1907,5688
47/708/4971,72.23824889,274602,174973,NWYSV,1916,9837
35/544/4731,14.29763208,194501,82514,HNYTR,1924,5701
13/170/3691,362.581636,31537,895084,LWATX,1925,7393
95/123/9647,450.033002,959188,275678,GNXAX,1936,4524
12/828/5583,356.2661427,76156,475903,AARPU,1941,1861
76/420/7023,490.5459712,73757,497808,CMEIA,1990,4480
77/227/3014,173.5243378,918745,57423,EXOZN,2030,542
51/931/7655,46.38389097,397220,537953,PCAQS,2034,5773
70/581/5748,165.8010118,740404,848060,PKGHV,2082,1698
31/931/4017,449.705556,313869,562367,IDFWB,2087,1899
33/172/2465,77.59145763,757212,813697,HULUJ,2096,8102
96/653/1479,197.8697314,134378,646945,BJDCJ,2106,6217
63/841/5112,422.5883507,902068,848700,ZWMSC,2112,9908
41/173/2581,386.6693105,889737,775291,OVMWF,2127,570
73/710/5421,58.9319665,839355,113458,SVMSG,2137,3754
70/624/9384,25.4676053,416580,360112,EGLIR,2140,8383
62/245/8420,498.6516305,215288,973612,SSEYW,2143,9133
98/511/4260,75.38048021,963021,674417,PUEVP,2171,150
44/560/4357,448.3984344,240234,717606,YKTSO,2196,5337
68/783/8280,84.63493029,568272,285145,JPJWL,2290,6989
68/450/6037,338.2991839,714910,575708,ZKONW,2359,7247
52/620/3530,333.6746538,351876,427187,FYHPM,2372,9047
79/777/3424,201.1080865,626689,245316,AKFOH,2372,2723
91/224/7702,214.3759608,382495,132856,PKSBI,2380,1263
34/280/8928,387.5094674,514097,588964,UPPFH,2394,7123
39/210/4931,199.6369108,491428,990639,JOSTM,2411,9750
98/213/3911,113.2138157,848681,723490,QIDIC,2444,510
94/215/7524,233.5198024,119678,899360,AQCVZ,2511,6717
13/945/9300,281.3931185,989238,998371,HTMDF,2515,539
87/903/8284,129.1615111,756767,9869,NERMX,2614,4035
63/749/2405,334.9954867,265788,10278,RYEYD,2628,5516
92/927/4215,392.694899,847037,216409,FXCGN,2643,7996
12/661/2744,90.35718075,587723,720887,QFBPF,2670,2454
16/801/3047,329.195924,25472,844352,RDRTQ,2678,5269
31/892/1857,435.5195761,306206,532434,GWKLI,2759,4381
20/590/2375,431.3145528,489190,246370,OULPB,2760,2316
10/231/4135,26.44391993,540097,522833,PVKJD,2784,7687
45/679/9202,308.6804417,375288,412630,MQKLL,2844,8205
57/321/3983,218.8708953,752580,811068,FFUWI,2865,7109
72/399/3540,218.1262549,887768,540260,HGUKR,2901,3455
28/293/6782,380.1936748,370619,756222,WIJBV,2916,3943
99/551/3187,256.3091973,452157,314663,PBHZV,2937,8468
86/954/5700,394.9798864,721305,395939,ULUAW,2948,8123
32/280/8465,100.0661559,878711,893789,ZBDXN,2960,4470
32/706/4346,351.7417709,666756,865609,DONHP,2961,6329
19/643/6151,126.767395,58664,744578,ICFZS,2975,7376
32/200/7325,438.6760749,796313,428374,YRQGA,3002,9539
34/647/7501,195.5719027,164260,360898,UIAOV,3022,3359
52/248/8393,368.0285462,848206,513125,TJHBW,3068,6170
34/641/2894,255.1791693,360895,844405,AWYJI,3079,1791
99/522/4539,79.02769088,954226,549905,RALAF,3102,2923
21/182/6335,482.1089285,986465,704527,ICJGG,3113,9157
51/160/4446,102.5634513,228129,150959,ZOIAI,3121,6805
46/908/7292,345.4291751,863950,291853,WLRZA,3155,4309
85/994/9681,402.4984734,402386,283401,BWKWZ,3170,2921
44/359/2891,70.23681745,382371,458784,NMZFK,3285,948
12/324/7713,108.0843603,892752,582104,PXTSU,3296,8540
38/210/2235,180.3480397,15365,629077,ZZEQE,3317,696
14/261/5362,493.8464964,161045,455123,JRLGT,3318,4377
13/904/8657,124.4600012,276579,297218,KWDEF,3350,2481
